statement,line_item,concept,period,value,units,form,accession,source_url,provenance
BS,Accounts payable,AccountsPayableCurrent,FY2023,776831000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Accounts payable,AccountsPayableCurrent,FY2024,1472381000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,Accounts payable,AccountsPayableCurrent,FY2025,1281977000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,Accounts payable,AccountsPayableCurrent,Q/E 2024-09-30,1682968000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,Accounts payable,AccountsPayableCurrent,Q/E 2024-12-31,549323000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Accounts payable,AccountsPayableCurrent,Q/E 2025-03-31,643050000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Accounts payable,AccountsPayableCurrent,Q/E 2025-09-30,1279667000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Accounts payable,AccountsPayableCurrent,Q/E 2025-12-31,13753207000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,Accounts payable,AccountsPayableCurrent,Q/E 2026-03-31,3686991000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,"Accounts receivable, net",AccountsReceivableNetCurrent,FY2023,1148259000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,"Accounts receivable, net",AccountsReceivableNetCurrent,FY2024,2737331000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,"Accounts receivable, net",AccountsReceivableNetCurrent,FY2025,2203942000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,"Accounts receivable, net",AccountsReceivableNetCurrent,Q/E 2024-09-30,2731740000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,"Accounts receivable, net",AccountsReceivableNetCurrent,Q/E 2024-12-31,3059510000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,"Accounts receivable, net",AccountsReceivableNetCurrent,Q/E 2025-03-31,2642556000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,"Accounts receivable, net",AccountsReceivableNetCurrent,Q/E 2025-09-30,2525039000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
