form,filing_date,accession,url
8-K,2026-07-21,0001375365-26-000019,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000019/smci-20260721.htm
8-K,2026-06-15,0001193125-26-270430,https://www.sec.gov/Archives/edgar/data/1375365/000119312526270430/d151436d8k.htm
8-K,2026-06-12,0001193125-26-269703,https://www.sec.gov/Archives/edgar/data/1375365/000119312526269703/d45696d8k.htm
8-K,2026-06-09,0001193125-26-263942,https://www.sec.gov/Archives/edgar/data/1375365/000119312526263942/d47444d8k.htm
8-K,2026-05-18,0001375365-26-000015,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000015/smci-20260512.htm
10-Q,2026-05-11,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm
8-K,2026-05-05,0001375365-26-000013,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000013/smci-20260505.htm
8-K,2026-04-20,0001375365-26-000012,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000012/smci-20260415.htm
8-K,2026-03-20,0001375365-26-000011,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000011/smci-20260320.htm
DEF 14A,2026-03-03,0001375365-26-000008,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000008/smci-20260303.htm
10-Q,2026-02-06,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm
8-K,2026-02-03,0001375365-26-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000006/smci-20260203.htm
8-K,2026-01-29,0001375365-26-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000005/smci-20260126.htm
8-K,2026-01-26,0001375365-26-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000004/smci-20260121.htm
8-K,2026-01-02,0001375365-26-000001,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000001/smci-20251229.htm
8-K,2025-12-29,0001375365-25-000031,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000031/smci-20251222.htm
10-Q,2025-11-07,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm
8-K,2025-11-04,0001375365-25-000029,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000029/smci-20251104.htm
8-K,2025-10-23,0001628280-25-045989,https://www.sec.gov/Archives/edgar/data/1375365/000162828025045989/smci-20251023.htm
10-K,2025-08-28,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm
8-K,2025-08-05,0001375365-25-000023,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000023/smci-20250805.htm
8-K,2025-07-21,0001375365-25-000022,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000022/smci-20250716.htm
8-K,2025-06-27,0001375365-25-000020,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000020/smci-20250623.htm
8-K,2025-06-23,0001375365-25-000018,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000018/smci-20250623.htm
8-K,2025-06-06,0001375365-25-000016,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000016/smci-20250604.htm
10-Q,2025-05-12,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm
8-K,2025-05-06,0001375365-25-000013,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000013/smci-20250506.htm
8-K,2025-04-29,0001375365-25-000012,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000012/smci-20250429.htm
DEF 14A,2025-04-24,0001375365-25-000009,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000009/smci-20250424.htm
8-K,2025-03-31,0001375365-25-000008,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000008/smci-20250326.htm
8-K,2025-02-26,0001375365-25-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000007/smci-20250221.htm
10-Q,2025-02-25,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm
10-Q,2025-02-25,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm
10-K,2025-02-25,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm
8-K,2025-02-21,0001375365-25-000003,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000003/smci-20250220.htm
8-K,2025-02-11,0001375365-25-000001,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000001/smci-20250211.htm
8-K,2024-12-27,0001375365-24-000046,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000046/smci-20241220.htm
8-K,2024-12-06,0001375365-24-000045,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000045/smci-20241206.htm
8-K,2024-12-02,0001375365-24-000044,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000044/smci-20241127.htm
8-K,2024-11-26,0001375365-24-000043,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000043/smci-20241120.htm
8-K,2024-11-20,0001375365-24-000042,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000042/smci-20241114.htm
8-K,2024-11-18,0001375365-24-000040,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000040/smci-20241118.htm
8-K,2024-11-05,0001375365-24-000038,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000038/smci-20241101.htm
8-K,2024-11-01,0001375365-24-000037,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000037/smci-20241028.htm
8-K,2024-10-30,0001375365-24-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000036/smci-20241024.htm
8-K,2024-09-30,0001375365-24-000035,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000035/smci-20240927.htm
8-K,2024-09-26,0001375365-24-000034,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000034/smci-20240926.htm
8-K,2024-09-20,0001375365-24-000033,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000033/smci-20240917.htm
8-K,2024-09-03,0001375365-24-000032,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000032/smci-20240903.htm
NT 10-K,2024-08-30,0001375365-24-000031,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000031/smci-form12bx25nt10xkx2024.htm
8-K,2024-08-28,0001375365-24-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000030/smci-20240828.htm
8-K,2024-08-19,0001375365-24-000029,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000029/smci-20240815.htm
8-K,2024-08-06,0001375365-24-000028,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000028/smci-20240806.htm
8-K,2024-07-22,0001375365-24-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000027/smci-20240719.htm
8-K,2024-06-21,0001375365-24-000026,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000026/smci-20240614.htm
8-K,2024-05-09,0001375365-24-000023,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000023/smci-20240503.htm
10-Q,2024-05-06,0001375365-24-000022,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000022/smci-20240331.htm
8-K,2024-04-30,0001375365-24-000021,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000021/smci-20240430.htm
8-K,2024-03-22,0001375365-24-000020,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000020/smci-20240319.htm
8-K,2024-03-15,0001375365-24-000019,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000019/smci-20240311.htm
8-K,2024-02-28,0001375365-24-000017,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000017/smci-20240222.htm
8-K,2024-02-23,0001375365-24-000016,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000016/smci-20240222.htm
8-K,2024-02-22,0001375365-24-000015,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000015/smci-20240221.htm
8-K,2024-02-20,0001375365-24-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000014/smci-20240216.htm
10-Q,2024-02-02,0001375365-24-000011,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000011/smci-20231231.htm
8-K,2024-02-01,0001375365-24-000010,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000010/smci-20240126.htm
8-K,2024-01-29,0001375365-24-000008,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000008/smci-20240129.htm
8-K,2024-01-25,0001375365-24-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000005/smci-20240122.htm
8-K,2024-01-18,0001375365-24-000002,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000002/smci-20240118.htm
8-K,2023-12-11,0001375365-23-000050,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000050/smci-20231207.htm
DEF 14A,2023-12-08,0001375365-23-000046,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000046/smci-20231207.htm
